step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
150,718.194,4596.8997,16.710,0.903,4.93,2.665,0.803,16.880,0.118,-0.1887,0.2991,0.061,0.000,0.203,0.012,100.104
151,723.194,4733.6898,16.845,0.896,4.24,2.708,0.779,16.880,0.118,-0.1715,0.2629,0.058,0.000,0.202,0.002,100.054
152,727.894,4466.8957,16.983,0.889,3.62,2.746,0.752,17.036,0.139,-0.1311,0.2178,0.055,0.000,0.201,0.015,100.529
153,732.944,4772.2739,17.122,0.882,3.06,2.785,0.725,17.191,0.161,-0.1010,0.1520,0.049,0.000,0.201,0.037,99.944
154,737.594,4427.6817,17.263,0.877,2.56,2.839,0.697,17.347,0.185,-0.0860,-0.0009,0.036,0.000,0.201,0.035,100.215
155,742.544,4697.5595,17.407,0.873,2.17,2.885,0.670,17.502,0.210,-0.0650,-0.0549,0.031,0.000,0.200,-0.001,100.104
156,747.194,4434.1578,17.551,0.870,1.87,2.892,0.642,17.656,0.237,-0.0308,-0.1002,0.027,0.000,0.200,-0.018,100.240
157,752.044,4581.6255,17.696,0.869,1.64,2.893,0.614,17.811,0.266,0.0104,-0.1653,0.021,0.000,0.199,-0.048,99.993
158,756.895,4629.6496,17.840,0.869,1.47,2.889,0.587,17.965,0.296,0.0582,-0.2075,0.017,0.000,0.198,-0.060,100.372
159,761.544,4352.7009,17.984,0.872,1.41,2.873,0.561,18.119,0.328,0.0972,-0.1823,0.019,0.000,0.197,-0.029,99.982
160,766.293,4578.7606,18.128,0.877,1.46,2.867,0.536,18.272,0.361,0.1216,-0.2115,0.016,0.000,0.197,-0.011,50.118
161,771.094,4507.6360,18.271,0.885,1.60,2.859,0.512,18.425,0.396,0.1471,-0.2789,0.010,0.000,0.196,0.013,100.282
162,775.744,4422.4026,18.413,0.894,1.78,2.832,0.490,18.578,0.433,0.1657,-0.3282,0.005,0.000,0.197,0.026,100.050
163,780.444,4448.2398,18.554,0.906,2.01,2.805,0.469,18.730,0.471,0.1761,-0.3073,0.007,0.000,0.197,0.019,100.172
164,785.094,4427.5302,18.693,0.919,2.29,2.781,0.449,18.730,0.471,0.2129,-0.2591,0.011,0.000,0.197,0.000,100.032
165,790.045,4685.7289,18.830,0.934,2.62,2.735,0.427,18.882,0.511,0.2286,-0.2647,0.010,0.000,0.196,-0.015,99.998
166,794.695,4435.6236,18.965,0.952,3.01,2.694,0.405,19.034,0.553,0.2586,-0.3209,0.004,0.000,0.196,-0.018,100.137
167,799.395,4399.6246,19.099,0.972,3.46,2.668,0.386,19.185,0.596,0.2591,-0.3208,0.004,0.000,0.195,-0.015,100.298
168,803.995,4365.1918,19.230,0.994,3.95,2.639,0.369,19.335,0.640,0.2674,-0.2889,0.006,0.000,0.195,-0.014,100.256
169,808.746,4472.7532,19.360,1.018,4.50,2.602,0.354,19.486,0.686,0.2752,-0.2998,0.005,0.000,0.194,-0.012,100.119
170,813.445,4545.2125,19.487,1.044,5.08,2.562,0.343,19.635,0.734,0.2796,-0.2616,0.008,0.000,0.194,0.004,50.130
171,818.195,4536.8872,19.612,1.073,5.72,2.517,0.337,19.784,0.783,0.2754,-0.2746,0.007,0.000,0.194,0.020,50.013
172,822.895,4478.3644,19.735,1.104,6.39,2.481,0.324,19.784,0.783,0.2805,-0.1998,0.013,0.000,0.194,0.034,99.970
173,827.645,4458.8119,19.856,1.137,7.09,2.455,0.312,19.933,0.834,0.2803,-0.1546,0.017,0.000,0.194,0.034,99.972
174,832.395,4510.3609,19.974,1.172,7.80,2.432,0.304,20.081,0.887,0.2804,-0.1166,0.020,0.000,0.193,0.013,100.200
175,837.195,4519.2541,20.091,1.209,8.54,2.409,0.302,20.229,0.941,0.2872,-0.1091,0.020,0.000,0.194,0.005,100.018
176,841.845,4405.0038,20.206,1.248,9.30,2.399,0.303,20.376,0.996,0.2900,-0.0374,0.027,0.000,0.194,0.011,99.987
177,846.445,4343.5859,20.321,1.288,10.06,2.387,0.297,20.376,0.996,0.3019,-0.0425,0.026,0.000,0.194,0.015,100.142
178,851.095,4441.0303,20.434,1.331,10.84,2.385,0.291,20.522,1.053,0.2870,-0.0500,0.025,0.000,0.194,0.017,100.007
179,855.795,4401.0464,20.546,1.375,11.63,2.378,0.289,20.668,1.112,0.2769,-0.0398,0.026,0.000,0.194,0.009,100.168
180,860.495,4478.4650,20.658,1.420,12.41,2.371,0.292,20.813,1.172,0.2918,-0.0421,0.026,0.000,0.195,-0.003,99.896
181,865.245,4475.2604,20.769,1.466,13.15,2.358,0.297,20.813,1.172,0.2954,0.0209,0.032,0.000,0.195,-0.018,100.180
182,869.946,4467.8300,20.879,1.513,13.87,2.353,0.290,20.957,1.234,0.2751,0.0522,0.034,0.000,0.195,-0.035,100.358
183,874.746,4545.2359,20.988,1.562,14.63,2.358,0.289,21.101,1.297,0.2790,0.0445,0.034,0.000,0.195,-0.022,100.117
184,879.395,4438.7944,21.097,1.613,15.41,2.379,0.291,21.244,1.361,0.2750,0.1185,0.040,0.000,0.195,0.001,100.398
185,884.045,4388.3795,21.206,1.664,16.15,2.390,0.297,21.387,1.428,0.2677,0.0702,0.036,0.000,0.196,0.005,100.093
186,888.746,4463.4113,21.315,1.717,16.87,2.396,0.298,21.387,1.428,0.2744,0.1097,0.040,0.000,0.196,-0.011,100.801
187,893.646,4612.9560,21.424,1.771,17.58,2.403,0.295,21.528,1.495,0.2661,0.0949,0.039,0.000,0.196,-0.022,99.896
